"County","Crude rates per 10,000","Lower 95% Limit","Upper 95% Limit","Total"
"06000","49.4","49.4","49.6","191,480"
"06001","62.9","61.7","64.2","9,929"
"06003",,,,
"06005","53.0","45.8","60.9","195"
"06007","46.4","43.6","49.3","1,043"
"06009","41.1","35.4","47.4","185"
"06011","43.5","35.3","53.1","97"
"06013","62.7","61.2","64.2","6,854"
"06015","48.7","40.9","57.5","139"
"06017","32.2","29.6","34.9","592"
"06019","80.2","78.5","82.0","7,933"
"06021","42.4","35.2","50.7","122"
"06023","61.4","57.3","65.7","832"
"06025","72.0","68.2","75.9","1,386"
"06027","47.3","38.0","58.3","88"
"06029","64.2","62.5","65.8","5,850"
"06031","79.3","74.9","83.8","1,246"
"06033","73.2","66.8","80.1","478"
"06035","43.5","36.8","51.1","148"
"06037","51.7","51.2","52.1","52,115"
"06039","63.8","59.9","67.8","1,029"
"06041","21.2","19.5","23.1","541"
"06043","43.9","34.8","54.7","79"
"06045","53.5","48.9","58.6","478"
"06047","88.6","85.1","92.2","2,420"
"06049","56.2","42.1","73.6","53"
"06051","29.6","21.4","39.9","43"
"06053","50.8","48.7","53.0","2,192"
"06055","40.4","37.2","43.9","569"
"06057","35.5","31.9","39.5","350"
"06059","32.7","32.0","33.3","10,260"
"06061","30.2","28.5","32.1","1,123"
"06063","49.7","40.3","60.5","98"
"06065","42.9","42.1","43.8","10,095"
"06067","68.4","67.0","69.7","10,100"
"06069","49.5","43.9","55.6","284"
"06071","59.6","58.5","60.6","12,741"
"06073","36.1","35.4","36.7","11,629"
"06075","37.6","36.3","38.9","3,136"
"06077","66.0","64.1","67.9","4,789"
"06079","34.7","32.5","37.0","949"
"06081","36.0","34.6","37.4","2,688"
"06083","39.8","37.9","41.7","1,731"
"06085","34.8","33.9","35.6","6,514"
"06087","33.5","31.3","35.7","905"
"06089","55.6","52.2","59.1","1,010"
"06091",,,,
"06093","39.5","33.9","45.8","176"
"06095","80.3","77.6","83.0","3,407"
"06097","38.9","37.2","40.7","1,927"
"06099","60.6","58.6","62.8","3,279"
"06101","33.9","30.4","37.8","335"
"06103","49.7","44.4","55.4","321"
"06105","50.0","38.7","63.5","67"
"06107","53.6","51.6","55.8","2,541"
"06109","47.5","41.9","53.7","257"
"06111","34.4","33.1","35.6","2,927"
"06113","40.7","38.0","43.5","851"
"06115","45.6","40.9","50.7","345"
