"County","Crude rates per 10,000","Lower 95% Limit","Upper 95% Limit","Total"
"06000","48.5","48.5","48.7","186,540"
"06001","63.2","62.0","64.5","9,909"
"06003",,,,
"06005","61.9","54.1","70.4","227"
"06007","43.8","41.1","46.6","978"
"06009","45.7","39.6","52.4","205"
"06011","41.9","33.8","51.4","92"
"06013","62.5","61.1","64.0","6,784"
"06015","45.0","37.6","53.5","128"
"06017","33.0","30.4","35.8","602"
"06019","78.5","76.7","80.3","7,633"
"06021","38.2","31.4","46.1","109"
"06023","66.9","62.6","71.4","905"
"06025","81.2","77.2","85.4","1,515"
"06027","49.6","40.0","60.9","92"
"06029","63.3","61.7","65.0","5,615"
"06031","80.1","75.7","84.7","1,238"
"06033","74.0","67.5","80.9","479"
"06035","30.5","24.9","37.0","103"
"06037","50.7","50.3","51.2","50,852"
"06039","62.1","58.3","66.2","980"
"06041","25.2","23.3","27.3","643"
"06043","33.7","25.7","43.3","60"
"06045","52.0","47.3","56.9","462"
"06047","86.7","83.2","90.3","2,329"
"06049","63.8","48.7","82.2","60"
"06051","34.0","25.2","45.0","49"
"06053","48.8","46.7","50.9","2,095"
"06055","46.2","42.7","49.9","647"
"06057","37.5","33.8","41.5","368"
"06059","31.3","30.7","31.9","9,767"
"06061","29.4","27.7","31.2","1,079"
"06063","33.2","25.6","42.4","65"
"06065","41.6","40.8","42.5","9,601"
"06067","68.2","66.9","69.6","9,987"
"06069","53.7","47.9","60.1","307"
"06071","59.8","58.8","60.9","12,636"
"06073","35.3","34.6","36.0","11,286"
"06075","37.3","36.0","38.6","3,093"
"06077","64.2","62.3","66.0","4,588"
"06079","31.9","29.9","34.1","870"
"06081","35.5","34.2","36.9","2,647"
"06083","36.3","34.5","38.1","1,571"
"06085","30.3","29.6","31.1","5,643"
"06087","34.3","32.1","36.6","925"
"06089","60.8","57.2","64.5","1,095"
"06091",,,,
"06093","43.2","37.3","49.8","192"
"06095","78.9","76.2","81.6","3,321"
"06097","38.4","36.7","40.2","1,895"
"06099","64.0","61.9","66.2","3,421"
"06101","38.2","34.4","42.3","372"
"06103","50.9","45.5","56.7","326"
"06105","58.4","46.2","72.9","78"
"06107","51.0","49.0","53.1","2,373"
"06109","44.8","39.3","50.8","242"
"06111","33.7","32.5","35.0","2,855"
"06113","39.2","36.6","42.0","813"
"06115","43.4","38.8","48.4","323"
