dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,1.0,,,,5.1,3.8,,,,1.8,2.3 
2,,,,1.6,3.8,,,,13.9,2.3,, 
3,,,0.1,,,,,13.1,,,, 
4,,1.2,,,,,3.4,,,,5.8,0.4 
5,,,,1.5,1.0,,,,3.1,1.8,, 
6,,,1.6,,,,,15.9,,,, 
7,,0.6,,,,,5.0,,,,2.5,1.0 
8,1.0,,,5.4,3.3,,,,4.0,1.4,, 
9,,,,,,,,6.9,,,, 
10,,0.8,,,,,4.4,,,,29.8,0.5 
11,1.0,,,4.0,1.2,,,,11.4,3.0,, 
12,,,0.7,,,,,6.2,,,, 
13,,0.4,,,,1.8,3.3,,,,2.7,0.2 
14,1.4,,,2.9,4.0,,,,3.8,5.1,, 
15,,,2.6,,,,,7.1,,,, 
16,,1.6,,,,1.7,9.5,,,,1.8,0.2 
17,1.2,,,3.6,2.7,,,,4.3,3.0,, 
18,,,1.1,,,,,13.1,,,, 
19,,0.5,,,,2.2,10.2,,,,6.5,0.2 
20,1.2,,,3.5,1.1,,,,6.1,1.7,, 
21,,,2.3,,,,,8.4,,,, 
22,,1.1,,,,3.3,4.1,,,,0.9,0.4 
23,,,,0.7,3.0,,,,7.0,1.5,, 
24,,,5.6,,,,,21.5,,,, 
25,,3.7,,,,0.8,2.4,,,,1.2, 
26,,,,0.9,1.9,,,,1.0,1.6,, 
27,,,3.0,,,,,18.3,,,, 
28,,0.8,,,,0.9,3.9,,,,1.6, 
29,1.4,,,2.5,1.4,,,,1.8,8.0,, 
30,,,1.8,,,,,1.3,,,, 
31,,,,,,,4.2,,,,,1.1
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 01:55:29
  
