dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,,0.3,,,,,2.5,,,, 
2,,0.6,,,,2.0,2.5,,,,0.1,0.4 
3,0.3,,,2.3,,,,,4.9,2.8,, 
4,,,1.4,,,,,3.2,,,, 
5,,1.1,,,,,2.6,,,,0.7,0.6 
6,,,,1.7,4.3,,,,9.1,1.7,, 
7,,,,,,,,3.1,,,, 
8,,0.9,,,,2.0,1.9,,,,0.8,0.3 
9,0.5,,,1.1,,,,,10.7,1.5,, 
10,,,2.7,,,,,8.0,,,, 
11,,0.6,,,,2.3,2.2,,,,0.8,0.2 
12,0.8,,,2.3,4.0,,,,14.6,2.0,, 
13,,,0.5,,,,,14.1,,,, 
14,,0.7,,,,2.2,3.0,,,,0.8,0.3 
15,0.5,,,1.5,1.3,,,,2.5,1.0,, 
16,,,2.6,,,,,7.5,,,, 
17,,1.2,,,,3.6,3.9,,,,0.2,0.5 
18,0.3,,,2.6,1.9,,,,1.6,1.0,, 
19,,,1.2,,,,,6.0,,,, 
20,,1.1,,,,2.8,3.7,,,,0.7,0.2 
21,0.7,,,5.0,1.7,,,,4.9,1.2,, 
22,,,1.9,,,,,14.6,,,, 
23,,2.2,,,,10.9,3.8,,,,0.7,1.3 
24,0.2,,,2.3,0.7,,,,3.0,1.8,, 
25,,,0.7,,,,,5.1,,,, 
26,,1.1,,,,7.8,7.4,,,,0.6,0.2 
27,0.5,,,0.9,3.6,,,,4.7,0.8,, 
28,,,1.8,,,,,10.6,,,, 
29,,,,,,2.9,2.6,,,,0.8,0.3 
30,1.2,,,,2.1,,,,0.7,0.6,, 
31,,,5.8,,,,,4.9,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:07:54
  
