dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,22.0,35.4,5.3,5.3,13.9,8.5,12.1,19.0,10.5,9.3,5.4, 
2,28.0,20.3,6.9,7.2,20.7,8.8,11.2,20.2,9.0,5.9,5.7,24.3 
3,30.0,11.9,8.0,8.9,11.7,10.6,9.4,18.4,10.8,5.6,4.2,24.6 
4,26.4,31.0,9.5,12.5,13.6,11.1,11.4,14.3,8.6,6.9,5.3,6.2 
5,18.3,24.1,15.9,4.1,15.1,12.2,14.5,14.5,5.8,10.3,8.4,7.7 
6,19.8,12.5,14.7,5.0,10.0,11.6,7.7,18.5,3.6,14.5,7.5,17.0 
7,17.4,8.8,12.0,4.3,9.9,13.0,8.3,14.1,6.8,12.3,14.6,13.1 
8,19.6,11.2,14.0,3.6,12.9,11.6,11.1,16.0,9.2,25.8,16.0,10.2 
9,16.8,5.3,14.1,4.6,17.3,14.3,9.2,10.3,9.8,16.3,7.1,15.5 
10,25.0,6.8,15.3,5.5,13.3,10.5,11.5,12.8,12.8,9.4,9.2,8.5 
11,18.2,9.1,12.0,6.8,13.1,10.9,8.0,7.0,7.3,8.3,12.5,2.3 
12,14.8,11.0,8.8,5.6,10.7,12.7,7.8,5.0,19.5,13.1,11.2,8.6 
13,5.4,11.1,8.8,7.9,11.4,17.7,8.9,5.5,27.7,10.8,20.3, 
14,37.9,9.1,11.8,5.8,8.9,21.0,11.5,11.5,10.7,10.6,28.5,3.4 
15,15.9,6.6,7.0,4.6,9.3,19.2,11.9,27.8,13.1,11.7,7.1,2.7 
16,26.0,9.2,10.1,5.4,10.0,18.0,14.1,19.4,8.1,11.0,4.0,9.1 
17,16.0,10.4,9.0,7.5,9.1,17.8,10.3,18.6,5.5,9.1,6.8,23.8 
18,22.4,17.2,5.0,9.6,9.4,14.7,8.9,31.7,,14.3,22.3,27.6 
19,14.8,16.6,6.1,11.0,9.8,12.0,8.1,19.9,,7.0,20.8,15.2 
20,14.2,9.9,11.3,11.9,9.5,10.6,,12.2,,,4.2,6.3 
21,11.9,18.5,6.1,11.3,7.5,12.2,,18.0,,7.8,,9.4 
22,,5.6,7.1,12.0,10.2,11.0,,14.5,8.8,,,5.4 
23,,6.0,8.6,13.3,12.4,10.0,,9.8,13.5,,,2.5 
24,22.6,7.9,7.8,11.4,12.3,12.6,,10.3,15.0,,,1.0 
25,16.5,13.0,5.0,6.0,9.5,14.7,11.4,18.2,9.8,,,7.0 
26,19.5,12.4,6.1,8.3,5.8,12.5,13.8,14.8,3.9,,3.0,2.3 
27,29.6,2.8,8.6,6.2,9.3,10.8,13.1,10.0,5.8,11.7,,13.5 
28,19.7,4.6,4.6,9.5,10.6,6.6,10.2,7.2,7.5,11.3,,5.2 
29,11.6,,9.1,11.0,10.0,8.0,12.9,3.5,8.3,5.5,,5.7 
30,7.5,,9.8,14.3,9.3,9.1,17.1,5.8,10.2,13.0,,15.8 
31,6.4,,8.7,,9.6,,17.7,6.0,,12.3,,2.4
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:00:57
  
