dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,11.3,,2.4,,,,,5.1,,,, 
2,,,,,,3.5,8.4,,,,1.4,2.2 
3,,4.6,,3.1,4.2,,,,6.0,1.1,, 
4,2.6,,1.2,,,,,4.9,,,, 
5,,,,,,5.5,3.8,,,,3.1,3.5 
6,,4.2,,1.9,2.4,,,,7.7,3.2,, 
7,2.7,,0.5,,,,,11.0,,,, 
8,,,,,,3.3,2.8,,,,2.0,0.3 
9,,4.3,,2.7,3.0,,,,10.8,4.5,, 
10,3.0,,1.4,,,,,13.8,,,, 
11,,,,,,3.3,1.6,,,,4.6,0.7 
12,,5.0,,1.9,,,,,4.0,13.8,, 
13,1.8,,0.5,,,,,6.6,,,, 
14,,,,,,2.1,4.7,,,,2.9,0.1 
15,,2.4,,0.8,1.6,,,,7.9,1.5,, 
16,0.7,,4.8,,,,,10.0,,,, 
17,,,,,,2.6,3.3,,,,4.1,1.9 
18,,0.9,,4.6,,,,,4.4,1.1,, 
19,0.9,,2.5,,,,,13.3,,,, 
20,,,,,,2.4,3.6,,,,3.2,5.8 
21,,2.3,,2.9,1.3,,,,2.0,2.6,, 
22,1.0,,0.7,,,,,10.9,,,, 
23,,,,,,2.1,2.3,,,,1.3,1.2 
24,,4.3,,2.0,1.8,,,,1.2,2.9,, 
25,4.5,,1.9,,,,,9.4,,,, 
26,,,,,,3.8,5.8,,,,3.4,5.5 
27,,0.9,,3.0,3.9,,,,3.6,1.5,, 
28,3.0,,1.0,,,,,11.8,,,, 
29,,,,,,5.7,8.7,,,,5.3,7.6 
30,,,,1.3,5.0,,,,6.1,0.5,, 
31,0.6,,2.7,,,,,9.5,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:08:38
  
