dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,2.0,,,,6.4,7.1,,,,,0.7 
2,,,,1.8,2.7,,,,9.5,4.0,, 
3,,,0.6,,,,,1.9,,,, 
4,,1.6,,,,9.6,2.9,,,,3.7,2.2 
5,,,,4.2,2.6,,,,12.6,6.3,, 
6,,,13.0,,,,,0.7,,,, 
7,,1.8,,,,11.6,1.8,,,,3.4,1.5 
8,0.7,,,1.9,1.3,,,,2.2,1.9,, 
9,,,0.5,,,,,6.1,,,, 
10,,0.5,,,,8.0,2.0,,,,4.2,1.1 
11,7.0,,,9.0,2.9,,,,14.0,2.7,, 
12,,,3.8,,,,,1.6,,,, 
13,,0.1,,,,5.0,1.7,,,,2.7,1.3 
14,2.4,,,7.6,5.4,,,,2.8,3.4,, 
15,,,2.7,,,,,1.7,,,, 
16,,6.1,,,,3.9,4.8,,,,2.6,0.6 
17,2.5,,,3.1,3.3,,,,3.9,3.5,, 
18,,,4.3,,,,,0.6,,,, 
19,,2.3,,,,2.9,0.6,,,,2.1,2.6 
20,3.2,,,9.5,5.4,,,,3.0,4.4,, 
21,,,8.6,,,,,5.3,,,, 
22,,2.2,,,,7.5,1.9,,,,3.4,0.5 
23,1.7,,,1.2,1.3,,,,3.1,1.5,, 
24,,,,,,,,6.6,,,, 
25,,3.9,,,,0.3,8.7,,,,, 
26,5.0,,,2.5,3.0,,,,2.9,3.7,, 
27,,,5.9,,,,,1.5,,,, 
28,,1.3,,,,2.4,1.3,,,,3.0, 
29,1.3,,,5.1,7.8,,,,2.9,2.2,, 
30,,,3.3,,,,,2.0,,,, 
31,,,,,,,2.9,,,,,1.3
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:06:46
  
