dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,1.3,,,,6.5,3.3,,,,1.0,1.9 
2,2.2,,,1.5,4.3,,,,5.7,3.1,, 
3,,,1.2,,,,,5.4,,,, 
4,,2.0,,,,4.7,4.6,,,,3.8,0.5 
5,0.8,,,2.5,2.2,,,,4.3,2.3,, 
6,,,1.5,,,,,11.7,,,, 
7,,0.5,,,,4.7,5.0,,,,3.0,5.4 
8,0.8,,,3.6,3.5,,,,3.6,3.6,, 
9,,,1.5,,,,,8.9,,,, 
10,,0.4,,,,6.5,4.0,,,,2.2,4.9 
11,0.5,,,4.1,1.2,,,,7.0,4.1,, 
12,,,1.0,,,,,3.5,,,, 
13,,0.8,,,,2.5,4.6,,,,0.9,2.7 
14,1.7,,,4.0,3.4,,,,5.6,4.1,, 
15,,,5.5,,,,,3.7,,,, 
16,,2.2,,,,3.4,6.2,,,,2.9,2.0 
17,1.8,,,3.1,4.0,,,,2.5,5.6,, 
18,,,1.8,,,,,2.6,,,, 
19,,1.2,,,,3.2,6.1,,,,1.7,0.6 
20,1.7,,,7.4,1.8,,,,72.8,2.4,, 
21,,,3.9,,,,,6.5,,,, 
22,,1.9,,,,2.8,5.3,,,,1.5,3.1 
23,,,,2.2,4.9,,,,5.5,2.2,, 
24,,,5.7,,,,,5.1,,,, 
25,,5.6,,,,2.0,3.1,,,,1.3,0.6 
26,1.2,,,1.0,2.5,,,,5.9,2.1,, 
27,,,1.1,,,,,4.6,,,, 
28,,4.9,,,,1.7,5.5,,,,0.5,3.5 
29,0.5,,,3.0,2.7,,,,4.9,3.9,, 
30,,,1.7,,,,,2.2,,,, 
31,,,,,,,5.9,,,,,4.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:09:15
  
