dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.8,8.5,6.4,5.3,,,10.3,,,,, 
2,11.1,5.8,3.1,6.2,5.8,,,,,,, 
3,11.8,5.6,3.2,6.3,,,,2.8,,,, 
4,8.4,7.3,3.6,5.4,,,5.5,,,,, 
5,13.3,10.9,2.8,3.7,3.3,,,,,,, 
6,10.5,11.9,6.3,3.4,,,,1.8,,,, 
7,5.6,6.6,4.4,14.2,,,2.6,,,,, 
8,8.2,4.7,9.3,13.9,2.2,,,,,,, 
9,6.7,8.2,5.2,8.2,,,,,,,, 
10,3.1,8.3,8.6,6.7,,,4.5,,,,, 
11,8.1,6.3,6.0,5.8,,,,,,,, 
12,17.4,4.3,6.5,7.1,,,,5.0,,,, 
13,12.8,14.6,7.3,10.9,,3.5,1.6,,,,, 
14,13.2,10.8,4.9,11.2,,,,,,,, 
15,18.3,10.2,2.8,6.2,,,,3.6,,,, 
16,19.7,16.2,3.2,2.3,,8.4,1.4,,,,, 
17,13.4,17.7,2.4,2.9,2.2,,,,,,, 
18,24.5,11.4,4.7,2.6,,,,15.6,,,, 
19,6.2,11.1,3.1,6.1,,1.3,,,,,, 
20,5.4,6.0,4.9,7.4,4.8,,,,,,, 
21,6.6,7.7,4.1,9.2,,,,6.0,,,, 
22,12.6,10.0,3.0,11.8,,5.5,21.2,,,,, 
23,4.7,7.3,5.5,7.0,1.4,,,,,,, 
24,7.7,11.7,2.7,10.4,,,,10.3,,,, 
25,8.8,2.1,3.8,6.0,,5.0,1.1,,,,, 
26,4.2,5.7,2.9,,,,,,,,, 
27,5.4,6.9,6.2,,,,,9.9,,,, 
28,10.4,4.2,7.9,,,5.6,0.8,,,,, 
29,6.5,,11.0,,,,,,,,, 
30,8.2,,11.1,,,,,2.4,,,, 
31,9.7,,8.0,,,,2.7,,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:05:16
  
