dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,17.5,31.2,2.7,4.0,6.6,3.2,,10.0,8.1,13.1,5.2,10.5 
2,22.9,14.2,7.0,3.4,9.5,3.5,,9.4,10.1,6.0,4.3,11.1 
3,25.5,7.8,4.8,11.7,11.3,5.4,,8.0,6.7,6.0,4.5,16.3 
4,16.3,22.0,7.3,9.6,9.1,6.2,,5.8,10.0,9.0,4.1,4.5 
5,11.1,22.6,7.9,3.1,11.2,4.4,,6.1,4.4,12.6,8.5,7.3 
6,18.0,5.8,6.0,5.0,5.8,5.5,,,4.9,14.0,7.7,10.3 
7,9.1,3.6,8.3,3.3,2.9,7.7,,,7.5,16.0,23.8,6.4 
8,12.0,2.2,6.5,4.0,5.9,9.8,5.9,,10.2,23.0,17.1,6.2 
9,13.7,1.7,10.1,2.5,8.9,8.0,5.2,,11.0,20.5,5.1,6.4 
10,16.5,1.1,15.1,2.3,8.5,5.0,6.9,,8.9,11.3,7.1,4.3 
11,13.7,2.9,6.9,3.4,7.6,4.9,5.2,4.6,9.0,6.8,9.3,3.1 
12,6.9,1.8,3.0,4.0,7.3,6.3,4.9,3.9,17.3,16.3,7.9,8.1 
13,2.3,,3.0,5.9,6.5,12.8,6.7,2.6,23.4,9.2,15.8,5.6 
14,16.2,,8.3,2.7,4.3,14.3,6.4,4.2,18.8,12.1,19.4,5.1 
15,12.5,,5.9,3.2,4.3,14.1,8.2,29.8,14.9,22.8,3.7,3.4 
16,18.4,,2.3,3.0,5.4,12.5,9.6,31.8,8.7,16.5,3.5,17.8 
17,12.0,,3.6,7.1,5.1,10.6,7.1,24.1,4.9,9.2,5.3,23.1 
18,16.8,7.6,3.2,7.5,3.3,11.1,5.7,21.7,8.3,4.8,10.5,26.5 
19,11.1,9.0,2.9,5.0,6.2,6.0,6.1,14.3,9.2,4.0,14.7,11.3 
20,8.7,4.4,6.8,9.1,4.7,7.7,6.1,7.4,6.4,2.2,2.9,9.0 
21,10.6,8.4,5.5,7.7,4.2,7.1,4.1,13.2,10.8,2.6,3.7,8.6 
22,20.8,1.0,2.2,8.3,5.5,6.7,10.0,9.9,13.5,6.9,6.0,7.3 
23,4.6,1.9,2.8,7.9,11.3,6.1,14.0,7.1,14.9,17.7,13.2,6.6 
24,6.6,4.4,3.8,5.5,7.3,7.7,10.2,6.8,14.7,16.8,3.4,5.7 
25,15.3,9.2,1.0,3.4,6.3,9.0,5.4,7.5,10.4,14.3,4.7,9.2 
26,14.7,4.0,6.7,3.4,5.8,11.3,6.9,10.5,10.7,20.7,4.8,5.3 
27,24.4,2.5,5.2,2.5,5.8,9.2,2.1,8.8,10.1,11.9,3.6,14.0 
28,11.6,3.9,1.3,4.5,5.1,5.0,1.3,5.9,12.9,6.8,5.7,5.0 
29,5.9,,3.5,7.0,5.5,5.3,2.6,3.0,,3.5,10.3,7.8 
30,2.0,,7.8,7.2,6.9,6.3,10.6,3.3,18.2,3.5,8.7,14.8 
31,0.7,,5.6,,5.5,,10.4,7.1,,10.5,,3.9
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:41:42
  
