dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.8,2.3,1.6,3.3,8.7,11.9,14.1,13.7,9.1,7.9,4.9,6.2 
2,21.2,4.4,0.7,6.1,5.5,12.2,8.3,15.4,10.7,6.6,4.3,2.5 
3,14.3,4.2,6.5,2.5,4.0,11.1,7.0,13.8,12.2,4.3,5.1,0.8 
4,6.7,12.7,3.8,5.9,2.6,15.9,9.3,15.1,15.5,5.8,8.1,1.0 
5,17.9,2.9,2.7,7.3,4.1,19.2,7.1,13.2,21.2,8.2,6.9,1.2 
6,2.9,2.6,13.2,9.7,6.4,19.0,4.8,9.4,20.3,6.3,3.5,2.8 
7,7.6,5.5,8.3,13.9,6.6,15.1,5.7,7.9,13.6,17.1,7.1,2.1 
8,6.8,2.9,3.8,12.9,2.9,11.5,14.8,11.6,9.8,9.8,9.7,1.3 
9,7.1,6.0,9.3,7.0,4.2,12.8,11.0,11.3,6.5,10.7,9.7,1.2 
10,3.6,4.2,5.9,12.5,3.9,13.5,9.1,12.5,11.0,9.3,8.1,1.1 
11,8.1,4.7,5.3,12.8,5.7,8.0,3.7,7.3,12.4,8.3,6.8,2.0 
12,21.0,1.8,6.6,13.2,15.7,4.9,7.2,5.7,9.9,13.1,5.9,1.6 
13,7.8,8.3,14.7,12.7,7.7,10.0,4.7,5.1,5.8,6.0,5.8,7.8 
14,17.6,1.9,10.7,9.8,7.4,13.6,19.0,7.5,30.0,4.5,3.8,2.2 
15,4.2,3.0,8.4,9.6,9.4,10.1,10.9,9.4,9.6,5.0,7.1,0.4 
16,3.7,7.0,7.8,10.1,6.5,5.8,9.8,11.8,7.1,3.5,12.6,1.0 
17,11.8,2.5,6.9,8.5,4.0,6.7,10.4,6.9,9.5,2.5,3.5,3.0 
18,7.8,2.4,9.5,6.8,6.1,7.6,8.6,8.2,3.4,4.6,2.0,0.6 
19,6.8,6.4,9.5,8.5,3.0,3.9,9.4,7.3,10.8,3.2,2.6,3.2 
20,12.8,7.0,14.7,12.0,8.1,10.1,7.8,3.5,10.5,4.0,1.2,0.5 
21,14.7,7.8,16.1,14.8,10.4,8.8,5.0,8.3,6.5,4.9,0.7,2.9 
22,13.3,8.2,13.6,3.9,9.9,8.5,3.8,4.7,4.5,2.2,7.0,8.1 
23,14.5,9.0,13.0,1.8,7.5,7.7,2.2,10.4,1.4,3.0,8.5,8.6 
24,21.1,6.9,7.0,5.9,4.6,6.2,7.3,10.7,2.0,3.1,8.4,3.9 
25,15.2,7.5,4.5,4.8,4.0,6.8,10.3,9.1,3.3,6.7,13.6,6.0 
26,11.6,2.6,3.2,3.9,5.0,2.3,8.9,7.9,4.9,5.7,2.0,3.6 
27,11.1,1.8,5.8,6.6,5.8,3.0,81.6,6.6,6.1,5.3,4.1, 
28,6.8,4.7,0.7,11.3,5.8,3.6,45.9,9.3,7.9,3.3,2.6,11.6 
29,11.5,,6.8,10.4,13.7,6.9,8.0,4.0,5.5,6.8,3.2, 
30,8.8,,5.7,4.7,18.1,11.0,8.9,3.6,5.9,4.6,1.6,3.5 
31,7.4,,1.8,,13.1,,12.8,6.8,,3.3,,19.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:44:24
  
