dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,14.0,6.2,4.6,9.0,7.7,6.8,4.3,6.3,7.2,6.7,8.2,5.3 
2,10.9,6.4,2.6,8.0,7.5,7.7,2.7,5.1,11.9,5.8,8.2,4.3 
3,8.2,7.1,2.3,9.0,5.0,10.4,7.2,5.4,11.8,4.7,7.1,6.1 
4,4.1,6.9,4.3,6.9,5.9,8.1,8.3,7.6,12.0,3.3,68.4,8.7 
5,3.7,7.5,4.3,5.1,8.0,7.6,7.5,7.0,11.1,6.3,18.8,4.2 
6,4.3,5.0,5.5,4.2,4.2,5.6,8.7,5.0,11.6,4.8,5.3,5.5 
7,5.8,6.0,5.0,6.4,4.5,6.5,7.4,4.5,9.5,22.8,8.1,7.3 
8,4.5,7.4,3.0,8.0,4.1,7.5,8.7,7.6,7.8,13.0,11.3,8.8 
9,1.3,9.2,3.1,8.2,3.3,4.1,8.3,15.7,7.8,9.1,40.8,10.2 
10,6.4,8.6,6.4,6.7,7.7,5.3,10.0,9.9,6.4,4.6,92.0,10.3 
11,7.0,5.7,1.7,2.6,10.5,6.0,5.6,5.3,7.7,7.1,52.1,10.2 
12,6.8,3.2,4.2,5.0,9.2,9.4,4.0,4.2,4.6,8.0,29.0,13.3 
13,5.9,6.3,1.8,7.8,5.8,9.8,4.1,4.5,4.9,8.7,23.7,14.3 
14,7.8,5.3,2.7,10.7,3.8,10.8,3.5,4.0,4.9,10.0,34.9,11.2 
15,8.5,6.3,1.2,6.6,1.7,8.4,3.7,8.4,3.6,7.3,58.6,8.5 
16,10.7,8.3,3.1,4.0,1.7,6.9,4.0,16.0,2.9,5.4,59.8,7.8 
17,9.2,9.9,3.1,3.7,2.5,8.5,10.0,16.0,3.8,10.5,57.7,6.2 
18,7.3,4.8,5.1,4.0,3.5,8.0,5.3,10.3,6.0,12.1,43.3,8.5 
19,5.4,4.5,4.7,4.8,4.3,6.8,4.3,16.9,9.5,12.0,35.8,6.9 
20,9.6,5.1,6.0,9.2,6.1,7.0,4.6,21.4,9.0,12.6,20.6,7.5 
21,9.4,8.0,4.0,8.1,6.5,7.3,2.3,16.4,9.8,15.3,8.1,8.3 
22,9.2,6.5,3.9,10.6,2.5,9.4,4.0,23.0,9.5,10.7,4.3,5.8 
23,7.5,5.4,3.4,9.6,1.5,12.9,6.5,40.8,9.8,8.0,4.9,8.1 
24,6.9,6.4,4.8,7.8,1.1,4.9,7.9,34.8,9.1,7.1,3.6,8.5 
25,4.4,8.2,3.4,10.4,1.4,4.2,8.0,13.3,11.9,6.3,5.6,6.3 
26,4.7,5.4,4.1,7.5,3.1,7.4,6.2,13.0,9.3,8.5,9.0,9.5 
27,5.5,3.7,4.6,7.0,6.8,7.4,7.0,10.7,7.7,8.6,8.3,9.0 
28,8.1,4.5,3.9,5.0,11.0,10.3,6.1,5.2,9.4,6.0,4.1,4.5 
29,5.8,,6.5,3.2,10.3,10.4,4.1,8.2,7.4,6.7,4.9,15.8 
30,8.1,,8.7,6.5,8.2,7.1,3.9,10.5,4.1,7.7,5.3,10.6 
31,9.0,,9.3,,4.3,,5.1,8.5,,8.5,,3.6
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:56:54
  
