dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,0.8,,3.6,,,,,11.0,,5.0,4.7, 
2,,,,,,1.7,1.9,,,2.9,4.7,8.5 
3,,0.6,,2.5,5.6,,,,3.7,2.1,11.6,17.2 
4,1.0,,5.7,,,,,2.4,,5.7,8.4,10.1 
5,,,,,,2.1,12.3,,,7.1,7.0,7.7 
6,,2.6,,3.2,8.7,,,,3.8,4.0,7.8, 
7,0.8,,2.5,,,,,3.1,,3.5,6.4,7.3 
8,,,,,,1.3,0.7,,,4.3,8.0,-0.1 
9,,3.1,,6.4,8.8,,,,7.5,4.3,9.5, 
10,1.5,,5.9,,,,,,,3.9,5.5,9.2 
11,,,,,,6.7,2.8,,,2.4,10.2,5.9 
12,,2.9,,5.3,1.3,,,,7.8,3.2,8.5,9.8 
13,2.0,,3.4,,,,,,,7.5,8.0,6.7 
14,,,,,,3.8,10.5,,,7.4,5.6,5.3 
15,,0.3,,,0.7,,,,2.7,7.4,4.1,5.8 
16,8.5,,3.2,,,,,,,7.2,4.1,9.2 
17,,,,,,2.7,2.1,,,6.3,4.2,9.7 
18,,3.6,,,7.4,,,,1.5,6.5,3.9,9.9 
19,2.5,,1.4,,,,,3.3,,5.8,2.7,10.3 
20,,,,,,7.8,1.9,,,5.4,5.0,18.8 
21,,0.5,,3.7,1.4,,,,4.0,5.5,5.3,8.0 
22,3.2,,1.8,,,,,1.7,,7.6,2.8,8.6 
23,,,,,,2.3,4.8,,,4.5,3.4,11.7 
24,,4.7,,3.5,2.1,,,,2.7,5.6,2.6,10.0 
25,0.6,,5.7,,,,,3.5,,6.4,2.3,5.7 
26,,,,,,3.3,5.4,,,6.7,3.1,10.5 
27,,3.5,,2.3,5.3,,,,7.0,2.7,3.1,7.2 
28,2.5,,2.7,,,,,0.3,,2.9,8.2,12.3 
29,,,,,,6.2,7.7,,,5.7,5.6,10.9 
30,,,,7.1,7.4,,,,5.4,3.5,6.8,7.0 
31,0.6,,3.9,,,,,2.0,,3.1,,12.3
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:05:57
  
