dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,0.8,,,1.2,,,,,7.1,,, 
2,,,,,,,,5.4,,,, 
3,,0.2,,,,4.6,7.8,,,,,0.5 
4,-0.1,,,1.4,3.0,,,,5.2,2.1,, 
5,,,,,,,,8.8,,,, 
6,,0.3,,,,3.5,5.6,,,,,0.1 
7,0.2,,,0.2,2.0,,,,,1.3,, 
8,,,0.6,,,,,6.6,,,, 
9,,0.5,,,,1.1,10.9,,,,1.5,0.3 
10,0.3,,,7.2,4.7,,,,,4.1,, 
11,,,1.1,,,,,9.2,,,, 
12,,0.5,,,,0.9,5.5,,,,0.9,0.1 
13,,,,0.8,1.8,,,,,3.9,, 
14,,,1.7,,,,,41.1,,,, 
15,,,,,,2.7,7.0,,,,1.3,2.9 
16,,,,2.2,1.1,,,,,10.1,, 
17,,,,,,,,4.8,,,, 
18,,0.1,,,,2.8,33.8,,,,1.1,0.3 
19,0.2,,,4.6,1.3,,,,,7.0,, 
20,,,,,,,,4.2,,,, 
21,,0.3,,,,5.9,17.7,,,,0.9,0.3 
22,0.1,,,2.7,3.4,,,,,1.0,, 
23,,,1.0,,,,,8.8,,,, 
24,,,,,,3.5,5.1,,,,0.4,0.5 
25,0.3,,,1.9,2.5,,,,,1.2,, 
26,,,1.5,,,,,8.3,,,, 
27,,,,,,1.1,3.4,,,,0.3,0.3 
28,0.3,,,,1.6,,,,,1.3,, 
29,,,1.4,,,,,14.5,,,, 
30,,,,,,4.0,3.2,,,,1.0,0.4 
31,0.6,,,,3.8,,,,,3.5,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:07:29
  
