dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,0.7,,,,5.9,3.0,,,,0.2, 
2,1.0,,,0.9,3.5,,,,3.7,1.6,, 
3,,,0.7,,,,,5.9,,,, 
4,,1.3,,,,4.4,3.0,,,,,0.2 
5,0.5,,,1.5,8.8,,,,3.9,1.3,, 
6,,,,,,,,7.8,,,, 
7,,0.8,,,,4.0,4.0,,,,1.8,1.2 
8,0.9,,,3.4,4.1,,,,8.4,1.9,, 
9,,,,,,,,6.6,,,, 
10,,0.5,,,,5.4,4.4,,,,0.8,0.9 
11,0.7,,,2.6,1.0,,,,7.2,2.6,, 
12,,,,,,,,3.3,,,, 
13,,0.5,,,,2.7,4.0,,,,0.7,0.2 
14,1.6,,,3.5,2.9,,,,3.2,2.8,, 
15,,,,,,,,3.3,,,, 
16,,1.0,,,,1.7,4.2,,,,0.7,0.9 
17,1.4,,,3.0,4.3,,,,3.9,5.9,, 
18,,,,,,,,2.9,,,, 
19,,,,,,4.5,2.2,,,,0.5,0.7 
20,1.3,,,7.6,1.5,,,,4.3,1.9,, 
21,,,2.8,,,,,6.6,,,, 
22,,,,,,1.5,2.5,,,,0.6,0.3 
23,1.6,,,1.8,4.3,,,,4.2,0.6,, 
24,,,3.9,,,,,3.9,,,, 
25,,,,,,1.3,2.5,,,,0.7, 
26,0.6,,,1.5,2.7,,,,2.6,0.6,, 
27,,,1.4,,,,,3.5,,,, 
28,,0.3,,,,1.0,10.9,,,,0.5, 
29,0.6,,,2.8,2.5,,,,1.5,0.9,, 
30,,,1.4,,,,,0.8,,,, 
31,,,,,,,5.1,,,,,0.8
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 19:08:06
  
